3,0.00,PNumber:,Gender:,Age:
0,0.02,583.45,33.13,659.41
1,0.02,0.00,278.56,0.00
0,0.23,583.45,32.53,659.41
0,2.34,583.10,32.15,659.46
0,2.61,582.59,32.15,659.53
0,2.86,582.06,32.15,659.61
0,3.08,581.54,32.15,659.69
0,3.26,581.04,32.15,659.77
0,3.46,580.45,32.14,659.85
0,3.66,579.86,32.12,659.94
0,3.81,579.36,32.11,660.02
0,3.96,578.80,32.09,660.10
0,4.11,578.24,32.07,660.19
0,4.26,577.68,32.06,660.27
0,4.41,577.12,32.06,660.36
0,4.56,576.56,32.05,660.44
0,4.71,576.00,32.05,660.53
0,4.86,575.44,32.04,660.63
0,5.01,574.88,32.02,660.74
0,5.16,574.31,32.00,660.85
0,5.31,573.75,31.99,660.96
0,5.46,573.18,31.98,661.07
0,5.61,572.61,31.97,661.17
0,5.76,572.05,31.97,661.28
0,5.91,571.50,31.97,661.39
2,5.93,Home
0,7.66,572.08,31.97,661.31
0,7.88,572.58,31.97,661.24
0,8.13,573.10,31.98,661.16
0,8.33,573.61,31.98,661.08
0,8.53,574.14,31.99,661.00
0,8.71,574.71,32.01,660.92
0,8.86,575.23,32.03,660.84
0,9.01,575.76,32.04,660.76
0,9.16,576.30,32.05,660.68
0,9.31,576.83,32.06,660.60
0,9.46,577.37,32.06,660.52
0,9.61,577.90,32.06,660.43
0,9.76,578.44,32.07,660.35
0,9.91,578.97,32.09,660.27
0,10.06,579.50,32.11,660.19
0,10.21,580.03,32.12,660.11
0,10.36,580.56,32.14,660.03
0,10.51,581.09,32.15,659.95
0,10.66,581.62,32.15,659.87
0,10.81,582.15,32.15,659.79
0,10.96,582.68,32.15,659.71
0,11.11,583.22,32.15,659.63
0,11.26,583.75,32.16,659.55
0,11.43,584.28,32.18,659.47
1,11.81,0.00,277.97,0.00
1,11.87,0.00,277.01,0.00
1,11.92,0.00,275.98,0.00
1,11.97,0.00,274.89,0.00
1,12.02,0.00,273.78,0.00
1,12.07,0.00,272.64,0.00
1,12.12,0.00,271.54,0.00
1,12.17,0.00,270.42,0.00
1,12.22,0.00,269.30,0.00
1,12.25,0.00,268.58,0.00
1,12.28,0.00,267.80,0.00
1,12.32,0.00,267.06,0.00
1,12.37,0.00,265.94,0.00
1,12.40,0.00,265.18,0.00
1,12.43,0.00,264.49,0.00
1,12.47,0.00,263.70,0.00
1,12.52,0.00,262.59,0.00
1,12.57,0.00,261.46,0.00
1,12.60,0.00,260.71,0.00
1,12.63,0.00,259.98,0.00
1,12.67,0.00,259.22,0.00
1,12.70,0.00,258.48,0.00
1,12.73,0.00,257.74,0.00
1,12.78,0.00,256.66,0.00
1,12.83,0.00,255.54,0.00
1,12.88,0.00,254.42,0.00
1,12.93,0.00,253.29,0.00
1,12.98,0.00,252.19,0.00
1,13.03,0.00,251.07,0.00
1,13.08,0.00,249.95,0.00
1,13.13,0.00,248.82,0.00
1,13.18,0.00,247.71,0.00
1,13.23,0.00,246.59,0.00
1,13.28,0.00,245.48,0.00
1,13.33,0.00,244.34,0.00
1,13.38,0.00,243.24,0.00
1,13.43,0.00,242.12,0.00
1,13.48,0.00,241.00,0.00
1,13.53,0.00,239.87,0.00
1,13.58,0.00,238.79,0.00
1,13.63,0.00,237.69,0.00
1,13.68,0.00,236.59,0.00
1,13.73,0.00,235.49,0.00
1,13.78,0.00,234.41,0.00
1,13.83,0.00,233.32,0.00
1,13.88,0.00,232.22,0.00
1,13.93,0.00,231.12,0.00
1,13.98,0.00,230.04,0.00
1,14.03,0.00,228.95,0.00
1,14.08,0.00,227.85,0.00
1,14.14,0.00,226.74,0.00
1,14.18,0.00,225.66,0.00
1,14.23,0.00,224.57,0.00
1,14.28,0.00,223.48,0.00
1,14.34,0.00,222.37,0.00
1,14.38,0.00,221.28,0.00
1,14.43,0.00,220.19,0.00
1,14.48,0.00,219.10,0.00
1,14.54,0.00,218.00,0.00
1,14.58,0.00,216.91,0.00
1,14.64,0.00,215.81,0.00
1,14.68,0.00,214.73,0.00
1,14.74,0.00,213.64,0.00
1,14.78,0.00,212.59,0.00
1,14.84,0.00,211.52,0.00
1,14.89,0.00,210.45,0.00
1,14.94,0.00,209.36,0.00
1,14.99,0.00,208.31,0.00
1,15.04,0.00,207.24,0.00
1,15.09,0.00,206.16,0.00
1,15.14,0.00,205.09,0.00
1,15.19,0.00,204.03,0.00
1,15.24,0.00,202.96,0.00
1,15.29,0.00,201.89,0.00
1,15.34,0.00,200.81,0.00
1,15.39,0.00,199.74,0.00
1,15.44,0.00,198.68,0.00
1,15.49,0.00,197.61,0.00
1,15.54,0.00,196.54,0.00
1,15.59,0.00,195.47,0.00
1,15.63,0.00,194.46,0.00
1,15.67,0.00,193.74,0.00
1,15.72,0.00,192.68,0.00
1,15.77,0.00,191.86,0.00
0,16.53,584.32,32.16,658.85
0,16.63,584.20,32.14,658.26
0,16.70,584.09,32.12,657.77
0,16.79,583.93,32.08,656.99
0,16.85,583.80,32.06,656.38
0,16.93,583.64,32.03,655.60
0,17.00,583.51,32.01,654.98
0,17.08,583.34,31.99,654.18
0,17.13,583.24,31.98,653.68
0,17.20,583.10,31.96,653.03
0,17.28,582.93,31.96,652.22
0,17.33,582.83,31.96,651.73
0,17.40,582.70,31.96,651.13
0,17.48,582.56,31.95,650.47
0,17.58,582.41,31.96,649.76
0,17.68,582.27,31.96,649.06
0,17.78,582.12,31.96,648.37
0,17.88,581.97,31.96,647.67
0,17.99,581.82,31.96,646.95
0,18.09,581.68,31.96,646.26
0,18.19,581.53,31.96,645.56
0,18.29,581.38,31.96,644.85
0,18.39,581.23,31.96,644.15
0,18.49,581.09,31.97,643.45
0,18.59,580.94,31.97,642.75
0,18.69,580.79,31.97,642.04
1,18.74,0.00,192.63,0.00
0,18.79,580.64,31.97,641.36
1,18.80,0.00,193.35,0.00
1,18.84,0.00,193.87,0.00
0,18.86,580.52,31.98,640.87
1,18.89,0.00,194.90,0.00
0,18.94,580.37,31.98,640.29
1,18.94,0.00,195.86,0.00
1,18.99,0.00,196.88,0.00
0,19.04,580.15,31.97,639.57
1,19.04,0.00,198.02,0.00
1,19.09,0.00,198.92,0.00
0,19.14,579.93,31.98,638.92
1,19.14,0.00,199.88,0.00
1,19.19,0.00,200.79,0.00
0,19.24,579.68,31.98,638.26
1,19.24,0.00,201.74,0.00
1,19.29,0.00,202.62,0.00
0,19.34,579.41,31.98,637.60
1,19.34,0.00,203.16,0.00
1,19.41,0.00,203.68,0.00
0,19.44,579.13,31.98,636.96
1,19.49,0.00,204.33,0.00
0,19.54,578.84,31.98,636.31
1,19.56,0.00,204.85,0.00
0,19.64,578.54,31.98,635.67
1,19.64,0.00,205.51,0.00
1,19.71,0.00,206.03,0.00
0,19.74,578.23,31.98,635.04
1,19.79,0.00,206.68,0.00
0,19.84,577.92,31.99,634.41
1,19.86,0.00,207.21,0.00
0,19.94,577.59,31.99,633.78
1,19.94,0.00,207.86,0.00
