3,0.00,PNumber:,Gender:,Age:
0,0.02,583.45,33.13,659.41
1,0.02,0.00,278.56,0.00
0,0.23,583.45,32.54,659.41
0,1.89,583.13,32.15,659.45
0,2.09,582.55,32.15,659.54
0,2.29,581.96,32.15,659.63
0,2.46,581.41,32.15,659.71
0,2.59,580.86,32.15,659.79
0,2.74,580.24,32.13,659.89
0,2.85,579.75,32.12,659.96
0,2.99,579.18,32.10,660.05
0,3.14,578.55,32.08,660.14
0,3.29,577.91,32.06,660.24
0,3.41,577.42,32.06,660.31
0,3.54,576.85,32.06,660.40
0,3.66,576.36,32.05,660.47
0,3.79,575.79,32.04,660.55
0,3.91,575.30,32.03,660.63
0,4.04,574.73,32.01,660.71
0,4.16,574.24,32.00,660.79
0,4.29,573.67,31.99,660.87
2,4.39,Home
0,4.44,573.04,31.98,660.97
0,4.59,572.50,31.97,661.05
0,5.54,573.04,31.98,660.97
0,5.74,573.60,31.99,660.88
0,5.94,574.16,31.99,660.80
0,6.14,574.71,32.01,660.71
0,6.34,575.29,32.03,660.63
0,6.53,575.82,32.04,660.55
0,6.71,576.36,32.05,660.47
0,6.91,576.94,32.06,660.38
0,7.11,577.53,32.06,660.29
0,7.31,578.11,32.06,660.20
0,7.51,578.70,32.08,660.11
0,7.71,579.28,32.10,660.02
0,7.91,579.87,32.12,659.93
0,8.08,580.37,32.14,659.86
0,8.26,580.93,32.15,659.78
0,8.43,581.44,32.15,659.70
0,8.61,582.02,32.15,659.61
0,8.78,582.55,32.15,659.53
0,8.96,583.13,32.15,659.44
0,9.13,583.67,32.16,659.36
0,9.31,584.25,32.17,659.27
1,9.83,0.00,277.73,0.00
1,9.86,0.00,277.05,0.00
1,9.91,0.00,275.98,0.00
1,9.96,0.00,274.45,0.00
1,9.98,0.00,273.70,0.00
1,10.01,0.00,272.10,0.00
1,10.03,0.00,271.26,0.00
1,10.06,0.00,269.63,0.00
1,10.08,0.00,268.83,0.00
1,10.11,0.00,267.23,0.00
1,10.13,0.00,266.38,0.00
1,10.16,0.00,264.70,0.00
1,10.19,0.00,263.20,0.00
1,10.23,0.00,261.45,0.00
1,10.26,0.00,259.83,0.00
1,10.28,0.00,259.02,0.00
1,10.31,0.00,257.38,0.00
1,10.33,0.00,256.57,0.00
1,10.36,0.00,254.91,0.00
1,10.38,0.00,254.11,0.00
1,10.41,0.00,252.48,0.00
1,10.43,0.00,251.64,0.00
1,10.46,0.00,250.04,0.00
1,10.48,0.00,249.23,0.00
1,10.51,0.00,247.61,0.00
1,10.53,0.00,246.81,0.00
1,10.56,0.00,245.13,0.00
1,10.58,0.00,244.35,0.00
1,10.61,0.00,242.73,0.00
1,10.63,0.00,241.90,0.00
1,10.66,0.00,240.30,0.00
1,10.68,0.00,239.50,0.00
1,10.71,0.00,237.87,0.00
1,10.73,0.00,237.06,0.00
1,10.76,0.00,235.40,0.00
1,10.78,0.00,234.62,0.00
1,10.81,0.00,232.99,0.00
1,10.83,0.00,232.14,0.00
1,10.86,0.00,230.54,0.00
1,10.88,0.00,229.72,0.00
1,10.91,0.00,228.09,0.00
1,10.93,0.00,227.28,0.00
1,10.96,0.00,225.62,0.00
1,10.98,0.00,224.83,0.00
1,11.01,0.00,223.20,0.00
1,11.03,0.00,222.36,0.00
1,11.06,0.00,220.76,0.00
1,11.08,0.00,219.94,0.00
1,11.11,0.00,218.30,0.00
1,11.13,0.00,217.49,0.00
1,11.16,0.00,215.84,0.00
1,11.18,0.00,215.03,0.00
1,11.21,0.00,213.41,0.00
1,11.23,0.00,212.57,0.00
1,11.26,0.00,210.93,0.00
1,11.28,0.00,210.14,0.00
1,11.31,0.00,208.51,0.00
1,11.33,0.00,207.68,0.00
1,11.36,0.00,206.04,0.00
1,11.38,0.00,205.23,0.00
1,11.41,0.00,203.60,0.00
1,11.43,0.00,202.77,0.00
1,11.46,0.00,201.16,0.00
1,11.48,0.00,200.34,0.00
1,11.51,0.00,198.73,0.00
1,11.53,0.00,197.91,0.00
1,11.56,0.00,196.27,0.00
1,11.58,0.00,195.50,0.00
1,11.61,0.00,194.02,0.00
1,11.63,0.00,193.20,0.00
1,11.66,0.00,191.59,0.00
1,11.69,0.00,190.05,0.00
1,11.71,0.00,189.16,0.00
1,11.73,0.00,188.35,0.00
1,11.76,0.00,186.78,0.00
0,12.18,584.67,32.18,658.98
0,12.31,584.60,32.15,658.42
0,12.41,584.53,32.13,657.75
0,12.48,584.47,32.11,657.21
0,12.56,584.38,32.07,656.40
0,12.63,584.31,32.05,655.74
0,12.71,584.21,32.03,654.92
0,12.76,584.16,32.02,654.41
0,12.83,584.08,31.98,653.75
0,12.91,583.99,31.96,652.93
0,12.98,583.92,31.96,652.29
0,13.03,583.86,31.96,651.78
0,13.11,583.77,31.96,650.96
0,13.16,583.72,31.95,650.46
0,13.23,583.64,31.96,649.79
0,13.31,583.55,31.96,648.99
0,13.36,583.50,31.96,648.49
0,13.43,583.42,31.96,647.83
0,13.51,583.33,31.96,647.00
0,13.56,583.28,31.96,646.50
0,13.63,583.20,31.96,645.84
0,13.71,583.11,31.96,645.01
0,13.76,583.05,31.96,644.51
0,13.81,582.99,31.96,643.98
0,13.88,582.92,31.96,643.34
0,13.93,582.87,31.96,642.84
0,14.01,582.77,31.96,642.01
0,14.08,582.70,31.96,641.35
0,14.13,582.65,31.97,640.85
0,14.21,582.55,31.98,640.03
0,14.26,582.50,31.98,639.53
0,14.33,582.43,31.99,638.88
0,14.38,582.37,31.99,638.38
0,14.43,582.31,31.99,637.87
0,14.51,582.22,32.00,637.06
0,14.56,582.17,32.01,636.55
0,14.63,582.09,32.01,635.89
0,14.71,582.00,32.02,635.07
0,14.76,581.94,32.03,634.57
0,14.83,581.87,32.02,633.89
0,14.88,581.81,32.02,633.38
0,14.96,581.72,32.02,632.55
0,15.03,581.64,32.02,631.89
0,15.11,581.55,32.03,631.07
0,15.18,581.48,32.04,630.42
0,15.26,581.39,32.05,629.62
0,15.33,581.33,32.06,629.09
0,15.42,581.27,32.07,628.50
0,15.52,581.21,32.08,627.97
0,15.62,581.15,32.09,627.47
0,15.77,581.09,32.10,626.94
0,15.93,581.03,32.09,626.40
0,16.11,580.97,32.09,625.80
0,16.28,580.91,32.08,625.26
1,16.38,0.00,186.19,0.00
1,16.42,0.00,185.46,0.00
1,16.43,0.00,184.78,0.00
0,16.47,580.84,32.07,624.68
1,16.47,0.00,183.22,0.00
1,16.48,0.00,182.40,0.00
1,16.52,0.00,180.63,0.00
1,16.53,0.00,179.60,0.00
1,16.57,0.00,177.45,0.00
1,16.58,0.00,176.42,0.00
1,16.62,0.00,174.26,0.00
1,16.63,0.00,173.15,0.00
1,16.67,0.00,171.04,0.00
1,16.68,0.00,169.95,0.00
1,16.72,0.00,167.81,0.00
1,16.73,0.00,166.75,0.00
1,16.77,0.00,164.57,0.00
1,16.78,0.00,163.53,0.00
1,16.82,0.00,161.38,0.00
1,16.83,0.00,160.27,0.00
