3,0.00,PNumber:,Gender:,Age:
0,0.02,583.45,33.13,659.41
1,0.02,0.00,278.56,0.00
0,0.23,583.45,32.56,659.41
0,2.25,583.39,32.15,659.02
0,2.39,583.31,32.13,658.52
0,2.54,583.23,32.10,657.98
0,2.69,583.15,32.08,657.44
0,2.84,583.07,32.06,656.91
0,2.99,582.99,32.04,656.37
1,3.05,0.00,279.42,0.00
1,3.09,0.00,280.23,0.00
0,3.14,582.90,32.02,655.84
1,3.14,0.00,281.47,0.00
1,3.19,0.00,282.79,0.00
1,3.24,0.00,284.09,0.00
0,3.29,582.78,32.01,655.31
1,3.29,0.00,285.41,0.00
1,3.34,0.00,286.71,0.00
1,3.39,0.00,288.03,0.00
0,3.44,582.62,32.00,654.79
1,3.44,0.00,289.35,0.00
1,3.49,0.00,290.37,0.00
1,3.54,0.00,290.95,0.00
1,3.60,0.00,291.53,0.00
0,3.64,582.44,31.98,654.31
1,3.69,0.00,292.22,0.00
0,3.94,582.24,31.97,653.81
0,4.04,582.02,31.96,653.29
0,4.14,581.74,31.96,652.60
0,4.21,581.50,31.96,652.02
0,4.26,581.31,31.96,651.56
0,4.34,581.00,31.96,650.79
0,4.41,580.74,31.96,650.17
0,4.49,580.42,31.96,649.40
0,4.56,580.19,31.96,648.82
0,4.64,579.93,31.96,648.20
0,4.74,579.70,31.96,647.64
0,4.89,579.49,31.96,647.13
0,5.26,579.70,31.96,647.65
0,5.41,579.90,31.96,648.11
0,8.26,579.86,31.96,647.57
0,8.36,579.62,31.96,647.07
0,8.46,579.31,31.96,646.39
0,8.53,579.07,31.96,645.83
0,8.61,578.75,31.96,645.07
0,8.68,578.44,31.96,644.47
1,8.68,0.00,291.66,0.00
1,8.71,359.59,289.45,0.00
1,8.73,359.14,287.86,0.00
0,8.76,578.04,31.96,643.81
1,8.76,357.92,283.93,0.00
1,8.78,357.32,281.99,0.00
1,8.81,356.64,278.15,0.00
0,8.83,577.77,31.96,643.36
1,8.83,356.36,277.01,0.00
0,8.91,577.50,31.96,642.90
0,9.03,577.18,31.96,642.46
0,9.13,576.74,31.96,642.15
0,9.21,576.22,31.96,641.91
0,9.28,575.71,31.96,641.72
0,9.36,574.98,31.96,641.42
0,9.43,574.40,31.97,641.11
0,9.51,573.67,31.97,640.68
1,9.56,356.15,277.86,0.00
0,9.58,573.09,31.98,640.35
1,9.61,356.15,278.57,0.00
0,9.66,572.38,31.98,639.93
1,9.66,356.15,279.27,0.00
0,9.71,571.95,31.98,639.68
0,9.78,571.37,31.99,639.34
0,9.86,570.67,31.99,638.90
0,9.91,570.25,32.00,638.63
0,9.98,569.69,31.99,638.27
0,10.06,568.99,31.99,637.83
0,10.13,568.42,31.98,637.47
0,10.18,568.00,31.98,637.20
0,10.23,567.58,31.98,636.93
0,10.31,566.87,31.99,636.49
0,10.36,566.45,31.99,636.22
0,10.43,565.89,31.99,635.86
0,10.48,565.47,32.00,635.59
0,10.53,565.05,32.00,635.32
0,10.61,564.35,32.00,634.88
0,10.66,563.92,31.99,634.61
0,10.71,563.49,31.99,634.34
1,10.71,356.15,280.02,0.00
1,10.76,356.15,280.63,0.00
0,10.78,562.93,31.99,633.99
1,10.81,356.15,281.67,0.00
1,10.83,356.15,282.31,0.00
0,10.86,562.21,31.99,633.58
1,10.86,356.15,284.35,0.00
1,10.88,356.15,285.65,0.00
0,10.91,561.75,31.98,633.35
1,10.91,356.15,288.70,0.00
1,10.93,356.15,290.20,0.00
1,10.96,356.15,293.31,0.00
0,10.98,561.14,31.98,633.11
1,10.98,356.15,294.87,0.00
1,11.01,356.15,297.15,0.00
0,11.06,560.34,31.97,632.90
0,11.11,559.85,31.96,632.77
0,11.18,559.22,31.96,632.61
0,11.26,558.53,31.96,632.47
0,11.36,557.88,31.96,632.33
0,11.48,557.35,31.96,632.24
0,11.58,556.81,31.96,632.25
0,11.66,556.21,31.96,632.32
0,11.73,555.66,31.96,632.41
1,11.78,356.15,297.80,0.00
0,11.81,554.86,31.96,632.48
1,11.83,356.15,298.45,0.00
0,11.88,554.19,31.96,632.52
1,11.88,356.15,299.11,0.00
1,11.93,356.15,299.72,0.00
0,11.96,553.37,31.96,632.59
0,12.01,552.86,31.96,632.64
0,12.08,552.20,31.96,632.70
0,12.16,551.37,31.96,632.77
0,12.21,550.87,31.95,632.82
0,12.28,550.21,31.95,632.88
0,12.33,549.71,31.96,632.92
1,12.38,356.15,300.47,0.00
0,12.41,548.89,31.96,633.01
1,12.41,356.15,302.07,0.00
1,12.43,356.15,303.15,0.00
1,12.46,356.15,305.39,0.00
0,12.48,548.23,31.96,633.11
1,12.48,356.15,306.52,0.00
1,12.51,356.15,308.82,0.00
1,12.53,356.15,309.94,0.00
0,12.56,547.42,31.96,633.31
1,12.56,356.15,311.48,0.00
0,12.63,546.79,31.96,633.50
0,12.68,546.31,31.96,633.64
0,12.76,545.51,31.96,633.88
0,12.83,544.87,31.96,634.07
0,12.91,544.07,31.96,634.29
0,12.98,543.43,31.96,634.45
0,13.06,542.63,31.96,634.59
0,13.13,542.09,31.96,634.68
0,13.21,541.53,31.96,634.77
1,13.28,356.15,312.12,0.00
1,13.31,356.15,313.60,0.00
0,13.33,540.98,31.96,634.86
1,13.33,356.15,314.51,0.00
1,13.36,356.15,316.52,0.00
1,13.38,356.15,317.57,0.00
1,13.41,356.15,319.60,0.00
1,13.43,356.15,320.62,0.00
1,13.46,356.15,321.64,0.00
0,13.86,541.56,31.96,635.07
0,13.96,542.25,31.96,635.16
1,13.96,356.15,320.98,0.00
1,13.98,356.15,320.21,0.00
1,14.01,356.15,317.83,0.00
0,14.03,542.75,31.96,635.24
1,14.03,356.15,316.41,0.00
1,14.06,356.15,313.58,0.00
1,14.08,356.15,312.12,0.00
0,14.11,543.37,31.96,635.41
1,14.11,356.15,309.81,0.00
0,14.21,544.08,31.96,635.56
0,14.31,544.69,31.96,635.54
1,14.37,356.15,308.74,0.00
1,14.38,356.15,308.22,0.00
0,14.41,545.24,31.96,635.43
1,14.41,356.15,307.11,0.00
1,14.43,356.15,306.55,0.00
1,14.46,356.15,305.41,0.00
1,14.48,356.15,304.84,0.00
0,14.51,545.83,31.96,635.41
1,14.51,356.15,303.72,0.00
1,14.53,356.15,303.13,0.00
1,14.56,356.15,301.65,0.00
1,14.58,356.15,300.57,0.00
0,14.61,546.40,31.96,635.47
1,14.61,356.15,298.24,0.00
1,14.63,356.15,297.06,0.00
1,14.66,356.15,294.70,0.00
1,14.68,356.15,293.91,0.00
0,14.71,546.99,31.96,635.64
0,14.81,547.64,31.96,636.00
0,14.88,548.05,31.96,636.32
0,14.96,548.55,31.96,636.82
0,15.03,548.95,31.96,637.28
0,15.11,549.44,31.96,637.84
1,15.16,356.15,295.61,0.00
0,15.18,549.88,31.96,638.25
1,15.18,356.15,296.82,0.00
1,15.21,356.15,299.60,0.00
1,15.23,356.15,301.03,0.00
0,15.26,550.44,31.96,638.64
