3,0.00,PNumber:12312123,Gender:asd,Age:asdas
0,0.02,583.45,33.14,659.41
1,0.02,0.00,278.56,0.00
1,7.33,359.80,278.56,0.00
1,7.36,357.59,279.78,0.00
1,7.38,356.29,280.92,0.00
1,7.41,354.47,283.99,0.00
1,7.43,353.84,285.66,0.00
1,7.46,353.16,289.19,0.00
1,7.48,352.96,290.97,0.00
1,7.51,352.98,293.50,0.00
1,7.53,354.24,291.71,0.00
1,7.56,356.36,288.41,0.00
1,7.58,357.31,286.78,0.00
1,7.61,359.00,282.77,0.00
1,7.63,359.40,280.60,0.00
1,7.66,357.44,281.17,0.00
1,7.68,356.13,282.32,0.00
1,7.71,354.57,285.65,0.00
1,7.73,354.37,287.53,0.00
1,7.76,355.33,289.90,0.00
1,7.78,356.87,288.86,0.00
1,7.81,359.43,285.80,0.00
1,7.83,0.48,284.08,0.00
1,7.86,1.71,280.24,0.00
1,7.88,2.01,278.25,0.00
1,7.91,0.82,277.62,0.00
1,7.93,359.13,278.71,0.00
1,7.96,356.48,281.21,0.00
1,7.98,355.44,282.81,0.00
1,8.01,354.56,284.27,0.00
1,8.03,354.61,282.58,0.00
1,8.06,354.93,278.53,0.00
1,8.08,355.26,276.45,0.00
1,8.11,355.64,272.41,0.00
1,8.13,355.64,270.33,0.00
1,8.17,353.61,268.46,0.00
1,8.18,351.65,269.06,0.00
1,8.21,348.91,271.90,0.00
1,8.23,348.66,274.06,0.00
1,8.26,349.28,277.98,0.00
1,8.28,350.36,279.73,0.00
1,8.31,353.07,282.72,0.00
1,8.33,354.63,284.02,0.00
1,8.37,357.98,286.36,0.00
1,8.38,359.61,287.44,0.00
1,8.41,3.04,289.64,0.00
1,8.43,4.90,290.85,0.00
1,8.47,8.32,293.05,0.00
1,8.48,9.99,294.10,0.00
1,8.51,13.41,296.21,0.00
1,8.53,15.17,297.29,0.00
1,8.57,18.69,299.46,0.00
1,8.58,20.36,300.49,0.00
1,8.61,23.78,302.60,0.00
