3,0.00,PNumber:999,Gender:,Age:
0,0.02,583.45,33.14,659.41
1,0.02,0.00,278.56,0.00
4,28.46,980.04,30.91,836.62,0.00,0.00,0.00
3,28.46,[StartPoint]PlayerPos:(980.0, 30.9, 836.6),TargetName:Well,TargetPos:(560.6, 30.8, 1059.1)
0,28.46,980.04,30.91,836.62
1,28.46,0.00,0.00,0.00
1,31.00,0.00,1.04,0.00
1,31.04,0.00,3.39,0.00
1,31.05,0.00,4.92,0.00
1,31.08,0.00,8.95,0.00
1,31.10,0.00,10.92,0.00
1,31.13,0.00,15.06,0.00
1,31.15,0.00,17.15,0.00
1,31.18,0.00,21.17,0.00
1,31.20,0.00,23.27,0.00
1,31.23,0.00,27.29,0.00
1,31.25,0.00,29.36,0.00
1,31.28,0.00,33.40,0.00
1,31.30,0.00,35.49,0.00
1,31.33,0.00,39.52,0.00
1,31.35,0.00,41.61,0.00
1,31.38,0.00,45.64,0.00
1,31.40,359.89,47.77,0.00
1,31.43,359.43,51.76,0.00
1,31.45,359.04,53.48,0.00
1,31.48,358.03,56.17,0.00
1,31.50,357.52,57.02,0.00
1,31.53,356.64,57.96,0.00
1,31.58,355.53,58.36,0.00
1,31.63,354.73,58.36,0.00
1,32.10,354.29,57.64,0.00
1,32.14,354.29,55.67,0.00
1,32.15,354.31,54.31,0.00
1,32.19,354.68,50.67,0.00
1,32.20,354.95,48.76,0.00
1,32.24,355.63,44.59,0.00
1,32.25,355.94,42.65,0.00
1,32.29,356.62,38.48,0.00
1,32.30,356.94,36.52,0.00
1,32.34,357.62,32.35,0.00
1,32.35,357.94,30.39,0.00
1,32.39,358.61,26.23,0.00
1,32.40,358.93,24.26,0.00
1,32.44,359.61,20.09,0.00
1,32.45,359.95,18.02,0.00
1,32.49,0.61,13.97,0.00
1,32.50,0.93,12.01,0.00
1,32.54,1.61,7.84,0.00
1,32.55,1.94,5.76,0.00
1,32.59,2.58,1.72,0.00
1,32.60,2.87,359.60,0.00
