3,0.00,PNumber:,Gender:,Age:
0,0.21,746.21,31.96,443.81
1,0.21,0.00,0.00,0.00
1,1.86,0.00,2.47,0.00
1,1.89,0.00,6.26,0.00
1,1.93,0.00,10.21,0.00
1,1.96,0.00,14.14,0.00
1,1.99,0.00,18.03,0.00
1,2.02,359.46,21.97,0.00
1,2.05,359.46,25.87,0.00
1,2.09,359.64,29.80,0.00
1,2.12,0.50,33.74,0.00
1,2.15,1.64,37.73,0.00
0,2.52,746.35,31.96,444.39
0,2.64,746.57,31.95,444.93
0,2.72,746.79,31.96,445.50
0,2.81,747.06,31.96,446.22
1,2.81,1.64,35.47,0.00
1,2.84,1.64,32.26,0.00
0,2.88,747.26,31.96,446.84
1,2.88,1.64,28.87,0.00
1,2.91,1.64,25.32,0.00
0,2.94,747.39,31.96,447.49
1,2.94,1.64,22.29,0.00
0,3.01,747.46,31.96,448.12
0,3.07,747.54,31.96,448.72
0,3.13,747.62,31.96,449.35
0,3.19,747.69,31.96,449.94
0,3.25,747.76,31.96,450.53
0,3.31,747.84,31.96,451.11
0,3.37,747.91,31.96,451.70
0,3.43,747.98,31.96,452.29
0,3.49,748.06,31.96,452.89
0,3.55,748.13,31.96,453.48
0,3.61,748.20,31.96,454.07
0,3.67,748.28,31.96,454.67
0,3.72,748.35,31.96,455.24
0,3.78,748.42,31.96,455.83
0,3.84,748.50,31.96,456.43
0,3.90,748.57,31.96,457.04
0,3.96,748.64,31.96,457.63
0,4.02,748.71,31.96,458.20
0,4.08,748.79,31.96,458.77
0,4.14,748.86,31.96,459.37
0,4.20,748.93,31.96,459.96
0,4.26,749.01,31.96,460.56
0,4.32,749.08,31.96,461.15
0,4.38,749.15,31.96,461.74
0,4.44,749.23,31.96,462.34
0,4.50,749.30,31.96,462.95
0,4.56,749.38,31.96,463.55
0,4.62,749.46,31.96,464.14
1,4.62,1.64,23.82,0.00
1,4.66,1.64,26.74,0.00
0,4.69,749.59,31.96,464.81
1,4.69,1.64,29.92,0.00
1,4.72,1.64,33.93,0.00
0,4.75,749.77,31.96,465.43
1,4.75,1.64,37.77,0.00
1,4.79,1.64,41.94,0.00
0,4.82,750.05,31.96,466.03
1,4.82,1.64,44.90,0.00
0,4.88,750.37,31.96,466.59
0,4.95,750.67,31.96,467.12
1,4.95,1.64,43.54,0.00
1,4.98,1.64,42.06,0.00
0,5.01,750.97,31.96,467.69
1,5.01,1.73,40.00,0.00
1,5.04,1.85,37.25,0.00
0,5.08,751.24,31.96,468.29
1,5.08,2.12,34.42,0.00
1,5.11,2.44,31.10,0.00
0,5.14,751.45,31.96,468.92
1,5.14,2.75,27.55,0.00
1,5.18,3.10,23.61,0.00
0,5.21,751.57,31.96,469.57
1,5.21,3.44,19.69,0.00
1,5.24,3.83,15.54,0.00
0,5.27,751.61,31.96,470.23
1,5.27,4.20,11.59,0.00
1,5.31,4.60,7.45,0.00
0,5.34,751.57,31.96,470.88
1,5.34,4.97,3.53,0.00
1,5.37,5.36,359.33,0.00
0,5.41,751.44,31.96,471.53
1,5.41,5.73,355.44,0.00
1,5.44,6.13,351.25,0.00
0,5.48,751.18,31.96,472.22
1,5.48,6.13,347.03,0.00
0,5.57,750.75,31.96,473.05
1,5.62,5.28,351.89,0.00
0,5.66,750.39,31.96,473.83
1,5.66,4.00,356.54,0.00
1,5.70,2.82,0.78,0.00
0,5.73,750.20,31.96,474.50
1,5.73,1.75,4.65,0.00
1,5.77,0.61,8.93,0.00
0,5.80,750.09,31.95,475.16
1,5.80,359.68,12.86,0.00
1,5.83,359.68,17.02,0.00
0,5.86,750.06,31.96,475.82
1,5.86,359.68,20.93,0.00
1,5.90,359.68,25.08,0.00
0,5.93,750.12,31.96,476.49
1,5.93,359.68,29.23,0.00
0,6.00,750.27,31.96,477.16
0,6.07,750.46,31.96,477.85
0,6.13,750.62,31.96,478.45
0,6.20,750.78,31.96,479.03
1,6.20,359.68,28.42,0.00
1,6.23,359.68,27.19,0.00
0,6.26,750.93,31.96,479.67
1,6.26,359.68,24.79,0.00
1,6.30,359.68,20.53,0.00
0,6.33,751.03,31.96,480.33
1,6.33,359.68,16.55,0.00
1,6.36,359.68,15.26,0.00
0,6.39,751.06,31.96,481.00
0,6.46,751.06,31.96,481.61
0,6.52,751.07,31.96,482.22
0,6.58,751.08,31.96,482.82
0,6.64,751.09,31.96,483.42
0,6.70,751.10,31.96,484.02
0,6.76,751.11,31.96,484.64
0,6.82,751.12,31.96,485.25
0,6.88,751.12,31.96,485.87
0,6.94,751.14,31.96,486.49
1,6.98,359.68,17.11,0.00
0,7.01,751.16,31.96,487.12
1,7.01,359.68,19.07,0.00
1,7.04,359.68,21.13,0.00
0,7.07,751.22,31.96,487.78
1,7.07,359.68,22.55,0.00
0,7.14,751.32,31.96,488.48
0,7.22,751.42,31.96,489.18
0,7.28,751.51,31.96,489.81
0,7.34,751.60,31.96,490.40
0,7.40,751.68,31.96,490.99
0,7.46,751.76,31.96,491.58
0,7.52,751.85,31.96,492.17
0,7.58,751.92,31.96,492.80
0,7.64,751.97,31.96,493.39
0,7.70,752.00,31.96,493.97
0,7.76,751.98,31.96,494.57
0,7.82,751.96,31.96,495.17
0,7.88,751.95,31.96,495.77
0,7.94,751.93,31.96,496.36
0,8.00,751.92,31.96,496.95
0,8.06,751.90,31.96,497.55
0,8.12,751.89,31.96,498.15
0,8.18,751.87,31.96,498.74
0,8.24,751.86,31.96,499.34
0,8.30,751.86,31.95,500.01
0,8.37,751.95,31.96,500.65
0,8.43,752.11,31.96,501.25
0,8.49,752.33,31.96,501.81
0,8.55,752.56,31.96,502.36
0,8.61,752.79,31.96,502.91
0,8.67,753.02,31.96,503.46
0,8.73,753.25,31.96,504.01
0,8.79,753.48,31.95,504.56
0,8.85,753.71,31.96,505.12
0,8.91,753.94,31.96,505.67
0,8.97,754.17,31.96,506.23
0,9.03,754.40,31.96,506.77
0,9.09,754.62,31.96,507.32
0,9.15,754.86,31.96,507.89
0,9.21,755.09,31.96,508.45
0,9.27,755.32,31.96,509.00
0,9.33,755.55,31.95,509.55
0,9.39,755.78,31.96,510.10
0,9.45,756.02,31.96,510.68
0,9.52,756.26,31.96,511.31
0,9.59,756.50,31.96,511.94
0,9.65,756.72,31.96,512.52
0,9.71,756.93,31.96,513.08
1,9.74,359.68,21.02,0.00
0,9.77,757.15,31.96,513.69
1,9.77,359.68,19.05,0.00
1,9.81,359.68,16.30,0.00
0,9.84,757.33,31.96,514.34
1,9.84,359.68,13.56,0.00
1,9.88,359.68,10.61,0.00
0,9.91,757.45,31.96,515.00
1,9.91,359.68,7.98,0.00
0,9.97,757.53,31.96,515.65
0,10.03,757.59,31.96,516.26
0,10.10,757.66,31.96,516.87
0,10.16,757.73,31.96,517.50
0,10.22,757.79,31.96,518.11
0,10.28,757.85,31.96,518.72
0,10.34,757.91,31.96,519.34
0,10.41,757.98,31.96,519.95
0,10.47,758.04,31.96,520.55
0,10.53,758.10,31.96,521.17
0,10.60,758.16,31.96,521.84
0,10.67,758.22,31.96,522.53
0,10.74,758.28,31.96,523.28
0,10.80,758.32,31.96,523.90
0,10.86,758.36,31.96,524.51
0,10.92,758.39,31.96,525.11
0,10.98,758.43,31.96,525.71
0,11.04,758.46,31.96,526.31
0,11.10,758.49,31.96,526.91
0,11.16,758.53,31.96,527.51
0,11.22,758.56,31.96,528.11
0,11.28,758.59,31.96,528.71
0,11.34,758.61,31.96,529.31
0,11.41,758.63,31.96,529.93
0,11.47,758.64,31.96,530.53
0,11.53,758.65,31.96,531.13
0,11.59,758.66,31.96,531.73
0,11.65,758.67,31.96,532.34
0,11.71,758.68,31.96,532.96
0,11.77,758.69,31.96,533.57
0,11.83,758.70,31.96,534.18
0,11.89,758.71,31.96,534.79
0,11.95,758.71,31.96,535.39
0,12.01,758.72,31.96,535.99
0,12.07,758.73,31.96,536.60
0,12.13,758.74,31.96,537.21
0,12.20,758.74,31.96,537.81
0,12.26,758.73,31.96,538.36
0,12.35,758.71,31.96,539.05
0,12.43,758.70,31.96,539.56
2,13.15,Shed
0,13.55,758.59,31.96,539.03
0,13.69,758.51,31.96,538.46
0,13.78,758.43,31.96,537.96
0,13.90,758.14,31.96,537.37
0,13.98,757.76,31.96,537.01
0,14.08,757.23,31.96,536.73
1,14.11,359.68,9.06,0.00
1,14.14,359.68,11.62,0.00
0,14.17,756.56,31.96,536.57
1,14.17,359.68,15.54,0.00
1,14.20,359.68,19.68,0.00
0,14.24,756.04,31.96,536.54
1,14.24,359.68,23.57,0.00
1,14.27,359.68,27.70,0.00
0,14.30,755.50,31.96,536.60
1,14.30,359.71,31.61,0.00
1,14.34,359.78,35.83,0.00
0,14.37,754.95,31.96,536.75
1,14.37,359.84,39.75,0.00
1,14.40,359.91,43.92,0.00
0,14.43,754.42,31.96,536.98
1,14.43,359.97,47.80,0.00
1,14.47,0.04,51.97,0.00
0,14.50,753.91,31.96,537.30
1,14.50,0.10,55.89,0.00
1,14.53,0.15,60.11,0.00
0,14.57,753.46,31.96,537.69
0,14.63,753.10,31.96,538.10
0,14.69,752.79,31.96,538.55
0,14.75,752.53,31.96,539.06
0,14.81,752.31,31.96,539.62
0,14.87,752.09,31.96,540.18
0,14.93,751.87,31.96,540.75
0,14.99,751.65,31.96,541.32
0,15.05,751.43,31.96,541.89
0,15.11,751.20,31.96,542.46
1,15.15,0.15,59.31,0.00
0,15.18,750.96,31.95,543.06
0,15.24,750.73,31.96,543.62
0,15.30,750.51,31.96,544.18
0,15.36,750.33,31.96,544.75
0,15.42,750.14,31.96,545.33
0,15.49,749.95,31.96,545.95
0,15.55,749.78,31.96,546.54
0,15.61,749.65,31.96,547.13
0,15.67,749.60,31.96,547.72
0,15.73,749.62,31.96,548.32
1,15.76,0.15,60.39,0.00
0,15.79,749.72,31.96,548.92
1,15.79,0.15,61.75,0.00
1,15.82,0.15,63.73,0.00
0,15.86,749.90,31.96,549.53
1,15.86,0.15,66.59,0.00
1,15.89,0.16,70.42,0.00
0,15.92,750.17,31.96,550.11
1,15.92,0.23,74.39,0.00
1,15.96,0.33,78.67,0.00
0,15.99,750.52,31.96,550.64
1,15.99,0.42,82.77,0.00
1,16.03,0.52,87.03,0.00
0,16.06,750.91,31.96,551.09
1,16.06,0.62,91.01,0.00
1,16.10,0.72,95.28,0.00
0,16.13,751.36,31.96,551.46
1,16.13,0.81,99.30,0.00
1,16.16,0.91,103.52,0.00
0,16.20,751.86,31.96,551.76
0,16.29,752.49,31.96,552.04
0,16.37,752.97,31.96,552.26
0,16.52,753.46,31.96,552.47
2,16.61,Shed
1,17.07,0.91,101.76,0.00
1,17.11,0.91,97.99,0.00
0,17.14,753.18,31.96,553.02
1,17.14,0.91,94.03,0.00
1,17.17,0.91,89.76,0.00
1,17.21,0.91,85.73,0.00
0,17.24,753.13,31.96,553.55
1,17.24,0.91,81.71,0.00
1,17.27,0.91,77.40,0.00
1,17.31,0.91,73.44,0.00
0,17.34,753.25,31.96,554.16
1,17.34,0.91,69.45,0.00
1,17.37,0.91,65.17,0.00
1,17.41,0.91,61.18,0.00
0,17.44,753.56,31.96,554.82
0,17.50,753.85,31.96,555.25
0,17.56,754.20,31.96,555.67
0,17.62,754.61,31.96,556.11
0,17.68,755.02,31.96,556.56
0,17.74,755.45,31.96,556.98
0,17.80,755.90,31.96,557.40
0,17.86,756.33,31.96,557.80
0,17.92,756.78,31.96,558.21
0,17.98,757.22,31.96,558.62
0,18.04,757.66,31.96,559.02
0,18.10,758.11,31.96,559.42
0,18.16,758.56,31.96,559.83
0,18.22,759.00,31.96,560.23
0,18.28,759.44,31.96,560.63
0,18.34,759.89,31.96,561.04
0,18.40,760.34,31.96,561.44
0,18.47,760.80,31.96,561.86
1,18.50,0.91,59.97,0.00
0,18.53,761.26,31.96,562.28
1,18.53,1.23,56.65,0.00
1,18.57,1.92,52.21,0.00
0,18.60,761.74,31.96,562.78
1,18.60,2.58,48.28,0.00
1,18.63,3.29,44.12,0.00
0,18.66,762.14,31.96,563.30
1,18.66,3.43,40.66,0.00
0,18.73,762.47,31.96,563.85
0,18.79,762.76,31.96,564.36
0,18.85,763.06,31.96,564.87
0,18.91,763.37,31.96,565.39
0,18.97,763.68,31.96,565.92
0,19.03,763.98,31.96,566.45
0,19.09,764.30,31.96,566.96
0,19.15,764.62,31.96,567.47
0,19.21,764.94,31.96,567.97
0,19.27,765.27,31.96,568.47
0,19.33,765.60,31.96,568.97
0,19.39,765.94,31.96,569.48
0,19.45,766.27,31.96,569.97
0,19.51,766.60,31.96,570.46
0,19.57,766.94,31.96,570.96
0,19.63,767.27,31.96,571.45
0,19.69,767.61,31.96,571.95
